Date,Ticker,Price,Qty,Value,Weight,Weight_Pct
2010-01-04,CASH,1.0,9986515,9986515,0.0998786296198535,9.99
2010-01-04,QMCI,0.15000000596046448,66666664,10000000,0.10001349449157715,10.0
2010-01-04,LCTX,3.8175580501556396,2619475,9999998,0.10001347959041595,10.0
2010-01-04,SNT,2.190528392791748,4565108,9999999,0.10001348704099655,10.0
2010-01-04,NOBH,8.231987953186035,1214773,9999997,0.10001346468925476,10.0
2010-01-04,SIGA,4.4521331787109375,2246114,9999999,0.10001348704099655,10.0
2010-01-04,SFES,6.940051555633545,1440911,9999997,0.10001346468925476,10.0
2010-01-04,RTO,7.356505870819092,1359341,10000000,0.10001349449157715,10.0
2010-01-04,IMPM,3.5999999046325684,2777777,9999997,0.10001346468925476,10.0
2010-01-04,PMDI,4.557299613952637,2194282,10000001,0.10001350939273834,10.0
2010-01-05,CASH,1.0,8913958,8913958,0.08936257178713475,8.94
2010-01-05,SNT,2.3274362087249756,4565108,10624998,0.10651577264070511,10.65
2010-01-05,SIGA,4.5985846519470215,2246114,10328945,0.1035478413105011,10.35
2010-01-05,RTO,7.372448444366455,1359341,10021671,0.10046741366386414,10.05
2010-01-05,ONCY,27.645000457763672,360890,9976804,0.10001762211322784,10.0
2010-01-05,STRR,46.83623504638672,213015,9976821,0.10001779347658157,10.0
2010-01-05,CTLP,1.649999976158142,6046562,9976827,0.10001785308122635,10.0
2010-01-05,BBAR,3.6935832500457764,2701124,9976826,0.10001783818006516,10.0
2010-01-05,DINO,7.507880210876465,1328847,9976824,0.10001782327890396,10.0
2010-01-05,AOMFF,71.2012710571289,140121,9976793,0.10001751035451889,10.0
2010-01-06,CASH,1.0,89382912,89382912,0.8946529880436296,89.47
2010-01-06,SNT,2.3055310249328613,4565108,10524998,0.10534699261188507,10.53
2010-01-07,CASH,1.0,9978281,9978281,0.09986485896812822,9.99
2010-01-07,GNSS,1.4871582984924316,6719722,9993290,0.1000150740146637,10.0
2010-01-07,MPVDF,2.460526466369629,4061444,9993290,0.1000150740146637,10.0
2010-01-07,AZTA,8.345593452453613,1197433,9993289,0.1000150591135025,10.0
2010-01-07,SRL,34.632625579833984,288551,9993279,0.10001496225595474,10.0
2010-01-07,RBBN,12.449999809265137,802674,9993291,0.1000150814652443,10.0
2010-01-07,REPX,49.4564323425293,202062,9993266,0.1000148355960846,10.0
2010-01-07,ROYL,3.0299999713897705,3298115,9993288,0.1000150516629219,10.0
2010-01-07,PURE,13.279999732971191,752506,9993279,0.10001496225595474,10.0
2010-01-07,TFC,15.87421989440918,629529,9993282,0.10001499205827713,10.0
2010-01-08,CASH,1.0,9743912,9743912,0.09784545259553876,9.78
2010-01-08,AZTA,8.400604248046875,1197433,10059161,0.10101108998060226,10.1
2010-01-08,RBBN,12.550000190734863,802674,10073559,0.10115566849708557,10.12
2010-01-08,IMPM,4.329999923706055,2300360,9960559,0.10002095997333527,10.0
2010-01-08,CAPS,900.0,11067,9960300,0.10001835972070694,10.0
2010-01-08,ARMP,2170.0,4590,9960300,0.10001835972070694,10.0
2010-01-08,SIGA,4.972036838531494,2003316,9960561,0.10002097487449646,10.0
2010-01-08,KZIA,905.2008056640625,11003,9959924,0.1000145822763443,10.0
2010-01-08,FALC,463.0,21513,9960519,0.10002055764198303,10.0
2010-01-08,AIMI,33263.98828125,299,9945932,0.09987407922744751,9.99
2010-01-11,CASH,1.0,79638504,79638504,0.7929535177926819,79.3
2010-01-11,IMPM,4.570000171661377,2300360,10512646,0.10467348247766495,10.47
2010-01-11,ARMP,2240.0,4590,10281600,0.10237298160791397,10.24
2010-01-12,CASH,1.0,8472198,8472198,0.08335391552360738,8.34
2010-01-12,IMPM,5.099999904632568,2300360,11731836,0.11542394012212753,11.54
2010-01-12,ARMP,2240.0,4590,10281600,0.10115575790405273,10.12
2010-01-12,KZIA,938.1171875,10835,10164500,0.1000036671757698,10.0
2010-01-12,FXBY,4.058621883392334,2504592,10165192,0.1000104770064354,10.0
2010-01-12,OSPN,7.00269079208374,1451612,10165190,0.1000104546546936,10.0
2010-01-12,BBWI,7.371751308441162,1378938,10165188,0.10001043975353241,10.0
2010-01-12,DRS,5.287290573120117,1922571,10165192,0.1000104770064354,10.0
2010-01-12,UCB,14.824638366699219,685695,10165180,0.10001035779714584,10.0
2010-01-12,ETD,7.326037883758545,1387543,10165193,0.10001048445701599,10.0
2010-01-13,CASH,1.0,45396412,45396412,0.4576130901719842,45.76
2010-01-13,IMPM,5.71999979019165,2300360,13158059,0.13263823091983795,13.26
2010-01-13,KZIA,931.5338745117188,10835,10093170,0.10174299031496048,10.17
2010-01-13,FXBY,3.8758013248443604,2504592,9707301,0.09785328060388565,9.79
2010-01-13,OSPN,7.215773582458496,1451612,10474504,0.10558698326349258,10.56
2010-01-13,UCB,15.12795639038086,685695,10373164,0.10456543415784836,10.46
2010-01-14,CASH,1.0,9430732,9430732,0.09613037488140083,9.61
2010-01-14,KZIA,882.1593017578125,10835,9558196,0.09742965549230576,9.74
2010-01-14,FXBY,3.8758013248443604,2504592,9707301,0.09894952923059464,9.89
2010-01-14,OSPN,7.283573150634766,1451612,10572922,0.1077730730175972,10.78
2010-01-14,CVVUF,1.6393439769744873,5985066,9811582,0.10001249611377716,10.0
