date,equity,cash,daily_turnover,holdings_count
2010-01-04,9.9986504e+07,9.986515e+06,8.999998e+07,9
2010-01-05,9.975046e+07,8.913958e+06,1.1866703e+08,9
2010-01-06,9.990791e+07,8.938291e+07,8.048104e+07,1
2010-01-07,9.991784e+07,9.978281e+06,1.0048955e+08,9
2010-01-08,9.958472e+07,9.743912e+06,1.392027e+08,9
2010-01-11,1.0043275e+08,7.9638504e+07,6.990507e+07,2
2010-01-12,1.0164127e+08,8.472198e+06,7.115564e+07,9
2010-01-13,9.920261e+07,4.5396412e+07,3.692975e+07,5
2010-01-14,9.810356e+07,9.430732e+06,8.17154e+07,9
2010-01-15,9.815426e+07,5.757766e+07,4.8154148e+07,4
2010-01-19,9.571646e+07,931520.0,9.648601e+07,10
2010-01-20,9.34706e+07,3.7728524e+07,3.6802524e+07,6
2010-01-21,9.329808e+07,8.761211e+06,1.01686584e+08,9
2010-01-22,9.21005e+07,6.388244e+07,5.5129496e+07,3
2010-01-25,9.24115e+07,162601.0,1.0266391e+08,10
2010-01-26,9.080813e+07,6.3080064e+07,6.29269e+07,3
2010-01-27,9.095335e+07,8.696321e+06,7.297592e+07,9
2010-01-28,8.967969e+07,5.375939e+07,4.506983e+07,4
2010-01-29,9.0067336e+07,8.601967e+06,9.898876e+07,9
2010-02-01,9.0549224e+07,4.571816e+07,3.712176e+07,5
2010-02-02,9.0817416e+07,22506.0,1.3591458e+08,10
2010-02-03,9.245141e+07,4.6996036e+07,4.6980576e+07,5
2010-02-04,9.15064e+07,331035.0,8.145711e+07,10
2010-02-05,9.20129e+07,5.5408616e+07,5.5085844e+07,4
2010-02-08,9.247993e+07,8.98703e+06,1.0147777e+08,9
2010-02-09,9.542465e+07,7.659983e+07,6.762295e+07,2
2010-02-10,9.502923e+07,9.489032e+06,1.0398522e+08,9
2010-02-11,9.737428e+07,7.623451e+07,6.6755496e+07,2
2010-02-12,9.716953e+07,9.70278e+06,1.0841802e+08,9
2010-02-16,9.65383e+07,8.875091e+06,1.1505619e+08,9
2010-02-17,9.7356376e+07,7.8156984e+07,6.929229e+07,2
2010-02-18,9.778407e+07,9.56168e+06,8.7893224e+07,9
2010-02-19,9.9130024e+07,7.8140056e+07,6.8588664e+07,2
2010-02-22,9.813424e+07,9.428663e+06,6.870109e+07,9
2010-02-23,9.700609e+07,6.7070504e+07,5.765049e+07,3
2010-02-24,9.68139e+07,8.994181e+06,5.8067612e+07,9
2010-02-25,9.679958e+07,5.647602e+07,4.7488964e+07,4
2010-02-26,9.782851e+07,6.943933e+06,1.07035176e+08,9
2010-03-01,9.562202e+07,5.6476184e+07,4.953968e+07,4
2010-03-02,9.6300424e+07,8.694999e+06,8.706995e+07,9
2010-03-03,9.6966136e+07,8.687915e+07,7.819589e+07,1
2010-03-04,9.679074e+07,9.673918e+06,9.704296e+07,9
2010-03-05,9.74852e+07,6.712355e+07,5.745826e+07,3
2010-03-08,9.614488e+07,9.16886e+06,7.667518e+07,9
2010-03-09,9.224533e+07,5.409284e+07,4.493072e+07,4
2010-03-10,9.250243e+07,9.053944e+06,1.030051e+08,9
2010-03-11,9.297579e+07,7.428979e+07,6.524563e+07,2
2010-03-12,9.324571e+07,9.310727e+06,1.0290634e+08,9
2010-03-15,9.2055096e+07,9.153122e+06,1.4718789e+08,9
2010-03-16,9.583457e+07,8.648131e+07,7.7339784e+07,1
